"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"エゼチミブ錠１０ｍｇ「ＤＳＥＰ」","C19","P","","","","",""
"エゼロス配合錠ＨＤ「サワイ」","C19","","","","","",""
"ｴｿﾒﾌﾟﾗｿﾞｰﾙｶﾌﾟｾﾙ10mg｢ｹﾐﾌｧ｣","O","","","","","",""
"ｴｿﾒﾌﾟﾗｿﾞｰﾙｶﾌﾟｾﾙ20mg｢ｹﾐﾌｧ｣","P","O","","","","",""
"ｴｿﾒﾌﾟﾗｿﾞｰﾙｶﾌﾟｾﾙ10mg｢ﾆﾌﾟﾛ｣","C19","","","","","",""
"ｴﾀﾈﾙｾﾌﾟﾄBS皮下注50mgﾍﾟﾝ1.0mL｢MA｣","F","","","","","",""
"エタノール「マルイシ」","D4","","","","","",""
"ｴﾀﾞﾗﾎﾞﾝ点滴静注液30mgﾊﾞｯｸﾞ｢NP｣","G1","","","","","",""
"エチゾラム錠０．２５ｍｇ「ＪＧ」","E19","","","","","",""
"エチゾラム錠０．２５ｍｇ「日医工」","E19","","","","","",""
"エチゾラム錠０．５ｍｇ「ＮＩＧ」","E19","P","","","","",""
"エディロールカプセル０．５μｇ","E15","","","","","",""
"エディロールカプセル０．７５μｇ","E15","","","","","",""
"エトドラク錠２００ｍｇ「ＳＷ」","E15","","","","","",""
"エナジア吸入用カプセル高用量","","","","","","",""
"ｴﾅﾗﾌﾟﾘﾙﾏﾚｲﾝ酸塩錠2.5mg｢EMEC｣","C19","","","","","",""
"ｴﾅﾗﾌﾟﾘﾙﾏﾚｲﾝ酸塩錠5mg｢ｹﾐﾌｧ｣","O","C19","","","","",""
"ｴﾅﾗﾌﾟﾘﾙﾏﾚｲﾝ酸塩錠5mg｢ｻﾜｲ｣","C19","","","","","",""
"ｴﾅﾗﾌﾟﾘﾙﾏﾚｲﾝ酸塩錠5mg｢日新｣","C19","P","","","","",""
"エネーボ配合経腸用液","G11","","","","","",""
"エバステル錠１０ｍｇ","C19","","","","","",""
"エバスチンＯＤ錠５ｍｇ「サワイ」","C19","","","","","",""
"エパデールＥＭカプセル２ｇ","E25","","","","","",""
"エパデールＳ９００(９００ｍｇ)","E25","","","","","",""
"エパルレスタット錠５０ｍｇ「ＮＩＧ」","C19","","","","","",""
"エピデュオゲル","C4","N2","","","","",""
"ｴﾋﾟﾅｽﾁﾝ塩酸塩LX点眼液0.1%｢ﾆｯﾄｰ｣","E10","","","","","",""
"ｴﾋﾟﾅｽﾁﾝ塩酸塩LX点眼液0.1%｢ﾆｯﾄｰ｣","","","","","","",""
"エピナスチン塩酸塩錠２０ｍｇ「ＮＩＧ」","C19","P","","","","",""
"エピナスチン塩酸塩錠１０ｍｇ「サワイ」","C19","","","","","",""
"ｴﾋﾟﾅｽﾁﾝ塩酸塩点眼液0.05%｢ｾﾝｼﾞｭ｣","E10","","","","","",""
"エビリファイ錠１２ｍｇ","E15","","","","","",""
"エフィエント錠３．７５ｍｇ","C19","","","","","",""
"ｴﾌｨﾅｺﾅｿﾞｰﾙ爪外用液10%｢科研｣","","","","","","",""
"エブトール２５０ｍｇ錠","E15","","","","","",""
"エフピーＯＤ錠２．５","E2","","","","","",""
"エブランチルカプセル１５ｍｇ","C19","P","","","","",""
"エブランチルカプセル３０ｍｇ","C19","","","","","",""
"エプレレノン錠２５ｍｇ「杏林」","C19","","","","","",""
"エプレレノン錠５０ｍｇ「杏林」","C19","","","","","",""
"エペリゾン塩酸塩錠５０ｍｇ「ＮＩＧ」","C19","","","","","",""
"エペリゾン塩酸塩錠５０ｍｇ「あすか」","C19","P","","","","",""
"エベレンゾ錠５０ｍｇ","E15","","","","","",""
"ＭＳ温シップ「タイホウ」","G2","","","","","",""
"ＭＳ冷シップ「タイホウ」","G3","","","","","",""
"エリキュース錠２．５ｍｇ","C19","P","","","","",""
"エリキュース錠５ｍｇ","C19","P","","","","",""
"エリスロマイシン錠２００ｍｇ「サワイ」","C19","","","","","",""
"L-ｱｽﾊﾟﾗｷﾞﾝ酸Ca錠200mg｢ｻﾜｲ｣","C20","","","","","",""
"ｴﾙﾃﾞｶﾙｼﾄｰﾙｶﾌﾟｾﾙ0.5μg｢ｻﾜｲ｣","E15","","","","","",""
"ｴﾙﾃﾞｶﾙｼﾄｰﾙｶﾌﾟｾﾙ0.75μg｢ｻﾜｲ｣","E15","P","","","","",""
"ｌ－メントール「ケンエー」","C11","","","","","",""
"ｌ－メントール「ケンエー」（外用）","C11","","","","","",""
"エレンタール配合内用剤","G3","","","","","",""
"塩化ナトリウム＊（山善）（外用）","","","","","","",""
"塩化ナトリウム＊（山善）","C11","","","","","",""
"エンシュア・リキッド","G11","","","","","",""
"エンシュア・Ｈ","G11","","","","","",""
"エンタカポン錠１００ｍｇ「ＪＧ」","C19","","","","","",""
"エンペシドクリーム１％","C2","N4","","","","",""
"エンレスト錠１００ｍｇ","C19","P","","","","",""
"エンレスト錠２００ｍｇ","C19","","","","","",""
"エンレスト錠５０ｍｇ","C19","","","","","",""
"オイラックスＨクリーム","C4","A2","","","","",""
"オイラックスクリーム１０％","C4","A2","","","","",""
"オーグメンチン配合錠２５０ＲＳ","C19","","","","","",""
"オースギ葛根湯エキスＴ錠","E25","","","","","",""
"オースギ桂枝加苓朮附湯エキスＧ","A3","","","","","",""
"オースギ小青竜湯エキスＴ錠","A3","","","","","",""
"オースギ大黄甘草湯エキスＴ錠","E25","","","","","",""
"大塚生食注","A3","M13","","","","",""
"大塚生食注","K13","","","","","",""
"大塚生食注","A3","","","","","",""
"大塚生食注（外用）","","","","","","",""
"大塚生食注（外用）","","","","","","",""
"大塚生食注(５００ｍＬ)","I2","","","","","",""
"オキサトミド錠３０ｍｇ「サワイ」","C19","","","","","",""
"オキサロール軟膏２５μｇ／ｇ","C3","C8","N2","","","",""
"オキシコンチンＴＲ錠１０ｍｇ","E6","","","","","",""
"ｵｷｼｺﾄﾞﾝ錠2.5mgNX｢第一三共｣","E6","","","","","",""
"オキシコンチンＴＲ錠２０ｍｇ","E6","","","","","",""
"オキシコンチンＴＲ錠４０ｍｇ","E6","","","","","",""
"オキシコンチンＴＲ錠５ｍｇ","E6","","","","","",""
"オキナゾールクリーム１％","C4","A2","C8","C9","E8","G10","B5"
"オキノーム散２．５ｍｇ","E6","","","","","",""
"オキノーム散１０ｍｇ","E6","","","","","",""
"オキノーム散２０ｍｇ","E6","","","","","",""
"オキノーム散５ｍｇ","E6","","","","","",""
"オースギ抑肝散料エキスＴＧ","E25","A3","","","","",""
"オセルタミビルＤＳ３％「サワイ」","F","","","","","",""
"ｵｾﾙﾀﾐﾋﾞﾙｶﾌﾟｾﾙ75mg｢ｻﾜｲ｣","C19","O","","","","",""
"オゼンピック皮下注２ｍｇ","F","","","","","",""
"オテズラ錠３０ｍｇ","E15","","","","","",""
"オパルモン錠５μｇ","C19","","","","","",""
"オフサロン点眼液","","","","","","",""
"オプソ内服液５ｍｇ","E6","","","","","",""
"オプソ内服液１０ｍｇ(５ｍＬ)","E6","","","","","",""
"オフロキサシン錠１００ｍｇ「サワイ」","C19","","","","","",""
"ｵﾌﾛｷｻｼﾝ点眼液0.3%｢ﾆｯﾄｰ｣","E10","","","","","",""
